timestamp,head movement,jaw movement,emg detected
00:15:766,,yes,yes
00:16:300,,yes,
00:31:633,,yes,yes
00:33:399,,yes,
00:33:466,,yes,yes
02:38:533,,yes,yes
02:38:966,,yes,yes
02:41:266,,yes,
02:41:800,,yes,yes
03:19:733,yes,,
03:25:566,yes,,yes
03:29:933,yes,,yes
03:31:366,yes,,yes
03:33:833,yes,,yes
03:34:300,yes,,yes
03:34:400,yes,,
03:34:733,yes,,yes
03:36:433,yes,,yes
03:36:766,yes,,yes
03:36:866,yes,,yes
03:37:466,yes,,yes
03:37:599,yes,,yes
03:37:733,yes,,yes
03:37:933,yes,,yes
03:38:900,yes,,yes
03:39:000,yes,,yes
03:42:133,yes,,yes
03:46:133,yes,,yes
03:46:633,yes,,yes
03:46:699,yes,,yes
03:48:666,yes,,yes
03:51:266,yes,,yes
03:53:266,yes,,yes
03:53:500,yes,,
03:54:033,yes,,yes
03:54:666,yes,,yes
04:25:399,yes,,yes
04:31:333,yes,,
04:31:466,yes,,yes
04:31:633,yes,,
04:34:233,yes,,yes
04:34:300,yes,,yes
04:34:866,yes,,yes
04:35:133,,yes,yes
04:37:133,,yes,
04:37:199,,yes,yes
04:37:466,yes,,yes
04:37:866,,yes,yes
04:38:266,,yes,yes
04:38:366,yes,,yes
04:38:500,yes,,
04:38:500,,yes,yes
05:15:366,yes,,yes
05:15:366,,yes,
05:15:433,,yes,yes
05:16:100,,yes,yes
05:16:533,yes,,yes
05:16:733,yes,,
05:16:833,,yes,yes
05:18:199,yes,,
05:51:266,yes,,yes
05:53:100,yes,,yes
05:53:766,yes,,yes
05:54:500,yes,,yes
05:54:833,yes,,yes
05:54:899,yes,,yes
05:55:000,yes,,
05:55:433,yes,,yes
05:56:033,yes,,yes
05:56:333,yes,,yes
05:56:833,yes,,
05:57:000,yes,,yes
05:57:399,yes,,yes
05:58:066,yes,,yes
05:58:199,yes,,yes
05:58:266,yes,,yes
06:34:300,yes,,yes
06:34:666,yes,,
07:07:933,yes,,yes
07:10:733,yes,,yes
07:10:800,yes,,yes
08:35:799,,yes,yes
08:35:833,yes,,yes
08:36:100,,yes,yes
08:36:266,,yes,
08:36:733,,yes,yes
08:36:833,,yes,yes
08:37:633,,yes,yes
08:38:766,,yes,
08:40:299,yes,,yes
08:40:433,yes,,yes
